0,715277777777778;Prenom;Titre;Type;Abstract;Jour;Heure_debut;Heure_fin;Num_Session;Titre_Session;Title_Session;Researchgate;Linkedin
Panklai;Teerapap;Phosphodiesterase 5 inhibition and vasorelaxant effects of Nymphaea pubescens petals extract and its main compound;Oral;Aims: Nymphaea pubescens petals (NP) extract was reported to have acetylcholinesterase inhibitory activity, anti-hyperlipidemia, anti-diabetic, and hepatoprotective. But there is no reported effect on the phosphodiesterase 5 (PDE5) inhibition. PDE5 inhibitors have been used for the treatment of erectile dysfunction or pulmonary arterial hypertension. Therefore, this study aims to investigate the PDE5 inhibitory activity and vasorelaxant effect of NP extract and its main compound (quercetin 3methyl ether 3-O-?-xylopyranoside).Materials and methods: Ethanolic extract of NP was studied on PDE5 inhibitory activity using the two-step radioactive assay and vascular effects (0.001-1,000 ?g/ml) on rat isolated pulmonary artery (PA) and aorta from male Wistar rats. The content of its main compound was analyzed using high-performance liquid chromatography.Results: NP extract and main compound showed IC50 of PDE5 inhibition at 6.37 � 0.7 ?g/ml and 5.63 � 0.20 ?M, respectively. In addition, NP extract relaxed endothelium-intact arteries with EC50 of 0.005 � 0.001 mg/ml and 0.027 � 0.008 mg/ml in PA and aorta, respectively. Interestingly, main compound developed similar vasorelaxant activities in PA and aorta, with EC50 of 0.029 � 0.004 mM and 0.023 � 0.005 mM, respectively. As concern, the HPLC analysis, range of linearity was from 5 to 400 ?g/ml, with the correlation coefficient (r2) shown as 0.9997. Limit of detection and limit of quantification were 0.85 and 2.82 ?g/ml, respectively. Intra- and inter-day precisions were shown as %RSD and both of them were less than 3%. The accuracy expressed in terms of %recovery was shown between 85.13 -100.97%. NP extract contained main compound was 17.305 � 0.051 mg/g.Conclusions and perspectives: Our data suggested that the HPLC methods were appropriate to determine content of NP main compound. Ethanolic extract of NP and its main compound induced relaxation on PA and aorta, however the mechanisms of which remain to be determined.;1;10h42;10h57;Session 1;G�ologie et botanique;Geology and Botany;;
Dahmani;Justine;Nutritional quality and greenhouse gas emissions of vegetarian and non-vegetarian school meals: a case study in France (Dijon);Oral;Since 2018 French national regulation has imposed that school canteens must serve at least one vegetarian meal per week in order to reduce their environmental impact. However, a lunch without meat is often perceived as inadequate to cover the nutritional needs of children. The present study aims to compare the nutritional quality and greenhouse gas emissions (GHGE) of vegetarian and non-vegetarian school meals served at school canteens in Dijon, France.The 249 menus served in 2019 were provided by Dijon catering department. Nutrient composition and GHGE of each meal component (starter, protein dish, side dish, dairy product, dessert) was retrieved from national food databases: Ciqual 2020 and Agribalyse 3.0, respectively. For each meal component, we considered the standard portion size recommended by the relevant French authority (GEMRCN). Meals were classified into vegetarian meals (n = 66), i.e., without meat or fish, or non-vegetarian meals (n = 183). The nutritional adequacy of the meals was estimated by the Mean Adequacy Ratio (MAR) calculated as the mean percentage of daily recommended intakes for 23 essential nutrients. GHGE of the meals were calculated as the sum of GHGE of each meal component.On average, a non-vegetarian meal covered 50.6% (SD 6.2) of the recommended daily intakes for 23 nutrients while a vegetarian meal covered 48.4% (SD 5.5) (p = 0.010). On average, a vegetarian meal emitted 0.89 kgCO2eq (SD 0.29) while a non-vegetarian meal emitted 2.10 kgCO2eq (SD 1.03) (p<0.001). These analyses show that both vegetarian and non-vegetarian meals were of good nutritional quality (yet slightly lower for vegetarian meals) but that GHGE were more than twice as low for vegetarian meals. Thus, increasing the frequency of vegetarian meals at school canteens would strongly reduce GHGE while maintaining a good nutritional quality.;1;9h30;9h45;Session 1;Nutrition et Alimentation;Nutrition and Food;;
Arrazat;Laura;What about sustainability of university students' dietary habits? A literature review of students' food practices;Oral;In order to mitigate the environmental impacts of food systems, while ensuring food security, a transition towards sustainable diets is essential. Sustainable diets were defined in 2010 by the FAO and encompasses four dimensions: nutritional, environmental, economic and socio-cultural. The younger generation and more specifically students are considered as key actors of this transition. Indeed, they are going through identity development and major changes in their eating habits. The aim of this study was to identify the existing knowledge regarding students? dietary practices and their determinants.We carried out a narrative literature review on students? dietary practices considering the four dimensions of sustainability and based on the COM-B (Capacity Opportunity Motivation-Behaviour) framework, we identified the determinants of these dietary practices to highlight facilitators and barriers of sustainable eating during the student period.Results from studies conducted in Western countries have shown that students? diets are mainly characterised by a low nutritional quality. This latter is influenced by students? social relations and their economic resources. However, it was shown that students have a good nutritional knowledge and are aware of environmental issues. It may suggest numerous obstacles limiting the adoption of sustainable eating practices. Lack of accessibility to sustainable food options near university campuses, limited financial resources and poor culinary skills are the main barriers mentioned in the literature.The results of this review gave us an insight on how to initiate a transition towards more sustainable diets in this population. Consequently, we suggested a series of interventions that could act on the food choice environment as well as at the individual level. Finally, we identified gaps in the literature such as a lack of data, especially quantitative, regarding the sustainability of students? food practices. More specifically, there was an absence of data regarding dietary practices of French students.;1;9h48;10h03;Session 1;Nutrition et Alimentation;Nutrition and Food;;
Carballido;Laura;Development of an intelligent packaging to monitor food degradation and reduce food waste;Oral;"Intelligent packaging are materials ?which monitor the condition of packaged food or the environment surrounding the food? (EC 450/2009). Many examples have been developed in the recent years such as time-temperature indicators to help consumers know the perfect temperature to drink a bottle of wine; cold-chain break indicators, which are labels able to change their colour if the cold chain has been broken; or Radio-Frequency Identification (RFID) tags to allow a better traceability of products.The aim of my thesis is to develop an intelligent packaging able to inform its user about food freshness in real time to ensure food safety while reducing food waste. In fact, many products are wasted because of miscomprehension of the ?Best-before? dating and excessive precautions. Developing an intelligent packaging to monitor food spoilage could be an asset for the food industry.The developed technology consists in a material to integrate to usual food packaging capable of changing its spectroscopic properties in presence of food degradation markers. The designed material is finally able to monitor food degradation in both direct and indirect contact with the food product.";1;10h06;10h21;Session 1;Nutrition et Alimentation;Nutrition and Food;;
Hayrapetyan;Ruzanna;Non-intentionally added substances from food contact coating extracts and safety assessment;Oral;Non-intentionally added substances (NIAS) can migrate from can coatings to food resulting consumer?s exposure. Hazard assessment of NIAS remains difficult as scarce information is available about their origin, formation, toxicity, identification and quantification methods.The objective of this study was to identify and characterize NIAS from metallic food packaging to protect the safety of consumers. Migration tests were performed with acetonitrile and ethanol (95%) for one non-coated control plate and one single polyester coated tin plates (5 different batches). Extracts were then concentrated and analyzed by liquid chromatography?high resolution mass spectrometry in a non-targeted way.Four cyclic oligoesters (1 tetramer and 3 hexamers) were identified with the concentrations in the range of 40-85 ?g/dm2 for 3 of them and 3.2- 6.2 ?g/dm2 for the last one. Several in silico software (VEGAHUB, SARAH and DEREK) were combined to predict the toxicity of the identified oligoesters. Predictions were positive for carcinogenicity and developmental toxicity for some of them. In vitro genotoxicity NanoAmes test was performed using three strains of S. Typhimurium (TA98, TA100, TA97a) with and without metabolic activation system to test genotoxicity of the extracts. A negative response was obtained for all extracts.To confirm in silico predictive results, in vitro Cell Transformation Assay will be performed to verify the potential carcinogenicity of the extracts. To date, we are running GC analysis on different extracts to identify other NIAS.;1;10h24;10h39;Session 1;Nutrition et Alimentation;Nutrition and Food;;
Mao;Socheata;Development of a method to screen lactic acid bacteria beta-glucosidases involved in the presence of volatile compounds of fermented vegetables;Oral;Fermented vegetables have gained large attention in studies on lactic acid fermentations for their health benefits and organoleptic properties. Their content in volatile compounds contributes to their flavour, and thus to the buying decision of consumers. Volatile compounds are produced by lactic acid bacteria (LAB) which come from the environment and the fermentation matrix. They can be considered unfavourable and/or favourable. ?-glucosidases are enzymes produced by LAB that play an important role in generating volatile compounds. They hydrolyse glycosidic bonds to release ?-D-glucosides from terminal non-reducing residues. Most LAB harbor several genes encoding ?-glucosidases. However, the distinct roles of these enzymes, and particularly their substrate specificity, are not well known. Hence, it is not possible to predict their function based on their amino acid sequences. The objective of this study is to develop a method for screening ?-glucosidases in a large panel of LAB isolates from various traditional fermented products in order to ferment cucumbers. This work is divided into four steps: (1) bioinformatic analysis of the diversity of LAB ?-glucosidases sequences to find their conserved domains, (2) use of molecular biology tools to check the presence of ?-glucosidases in new LAB isolates, (3) use of different substrates to study the specific activity of the identified ?-glucosidases sequences in LAB isolates, and (4) inoculation of strains with potential favourable specific ?-glucosidases in fermented cucumbers and analysis of the volatile compounds produced using gas chromatography-mass spectrometer (GC-MS). In conclusion, being able to screen LAB ?-glucosidases according to their substrate specificity could participate in improving the flavour of fermented foods. The combination of experimental work and bioinformatics while studying LAB ?-glucosidases would also provide more insight into the relationship between specific ?-glucosidases and evolutionary conservation of LAB.;1;10h42;10h57;Session 1;Nutrition et Alimentation;Nutrition and Food;;
Salvi;Juliette;Microglia, a new player in the control of satiety;Oral;Microglia are resident immune cells of the central nervous system (CNS) that monitor the environment. They are the first line of defense in all CNS disturbances. Microglia are also involved in the brain control of energy homeostasis. Importantly, microglia appear as a relevant target during the pathogenesis of nutritional obesity. Nevertheless, involvement of microglia in the control of feeding behavior during normal physiology is still unknown. Here, we explored the role of microglia in the short-term regulation of food intake upon standard (SD) or high-fat (HFD) diets.Using immunolabeling, 3D reconstruction and morphometric analysis of microglia located in the hypothalamus, a major brain feeding center, we found that microglia changed their shape within three hours after food consumption. Postprandial changes in microglial morphology (processes with higher length and ramification) were exacerbated by HFD compared to SD. Moreover, magnetic cell sorting on hypothalamic biopsies revealed a postprandial increase in IL-1? mRNA induced by HFD and derived exclusively from CD11b+ (microglial) cells. These data indicate that microglia become reactive and proinflammatory rapidly after HFD consumption.In order to better understand the microglial function, we genetically ablate ASC, an essential component of intracellular inflammasome, in microglia in mice. We generated ASC microglial conditional KO (AscMgKO) mice in which ASC was deleted specifically in CX3CR1+ cells after tamoxifen induction in adult mice. Five weeks after tamoxifen injections, genetic recombination persisted in microglia while it disappeared in monocytes according to specific cell renewal. Finally, food intake of AscMgKO mice was normal under SD but increased under HFD. This hyperphagic behavior under HFD reveals that microglial ASC is involved in the acute homeostatic response to dietary fat, limiting excessive calorie intake during short-term HFD.These findings reveal that microglia are reactive after food consumption, and that microglial inflammasome contributes to the regulation of energy homeostasis during normal physiology.;1;11h20;11h35;Session 2;Neurobiologie;Neurobiology;;
Urban;Jeanne;Exploration of CYP27A1 function in eye cholesterol signaling between glia and neurons in Drosophila;Oral;Cholesterol is essential to maintain the integrity of cell membranes and plays important roles in neuron viability and transmission of nervous signals. In mammalian brain, a fine regulation of its metabolism is associated with the communication between glial cells and neurons. The dysregulation of cholesterol homeostasis is associated with many neurodegenerative disorders [1]. In particular, cholesterol accumulation in the retina is implicated in age-related macular degeneration, the leading cause of vision loss in western countries [2]. In normal condition, cholesterol elimination from the retina could rely on its conversion into oxysterols via the action of several cholesterol hydroxylases, including the CYP27A1 enzyme [3][4].The aim of the present study is to determine the mechanisms underlying cholesterol elimination in the visual system as well as neuron-glia interactions. The Drosophila genetic model has been chosen for its efficiency in exploring neuronal signaling pathways. We have started to screen the down-expression of a series of CYP27A1 orthologs using RNA interference in specific neurons or glial cells in the visual system. We first used the neuron specific driver, gmr-Gal4, to inactivate CYP27A1 orthologs in the eye. In parallel, we started to perform immunostaining experiments to determine whether downregulation of CYP27A1 orthologs can induce neurodegeneration in the eye during aging. Cholesterol accumulation in fly heads will also be evaluated using gas/liquid chromatography to determine the role of CYP27A1 orthologs in cholesterol metabolism in Drosophila.A better understanding of the role of retinal cells in cholesterol homeostasis should help in the development of effective retinal degeneration therapies.;1;11h38;11h51;Session 2;Neurobiologie;Neurobiology;;
Montillot;Charlotte;Neuroanatomical studies identify Vacuolar Protein Sorting 13 homolog B as an important regulator of brain architecture and hippocampal formation;Oral;Vacuolar Protein Sorting 13 homolog B (VPS13B) is a highly conserved protein through evolution, but its function is not well understood yet. Human mutations in VPS13B cause Cohen Syndrome, a rare recessive developmental disease characterized by intellectual disability, acquired microcephaly and hypotonia. Mouse Vps13b is highly expressed across several brain structures including the hippocampus and the cortex. Using a knockout mouse model approach, we set out to identify the role of VPS13B in the brain. We first showed that homozygous mutant mice of Vps13b are sub-viable, half dying progressively during the first week of life. The survivor homozygous mutant mice exhibit growth delay and microcephaly (-27% for weight and -20% for microcephaly in adult male mice). Using a systematic neuroanatomical study at multiple ages (embryonic E18.5 and postnatal 5, 7, 18 and 33 weeks), we then found severe neuroanatomical changes appearing within the first few weeks after birth in homozygous mutant mice when compared to matched controls. The hippocampus is the most affected brain region with a reduction of 34% of the size of the dentate gyrus. Finally, we performed a battery of behavioral tests and showed hyperactivity, hypotonia and altered memory but enhanced sociability and resilience to anxiety and depression in Vps13b homozygous mutant mice. It is noteworthy that heterozygous mutant mice did not show any apparent phenotype. Together, these findings indicate a highly specific role of VPS13B in the regulation of brain structure and an association with previously unreported features of Cohen Syndrome.;1;11h54;12h09;Session 2;Neurobiologie;Neurobiology;;
Tolassy;Vincent;Pheromonal ?Proust's madeleine? in Drosophila melanogaster: cVA imprinting impact on adult neural and behavioral development;Oral;Sensory imprinting is defined as the presentation of a stimulus during a restrained period of the early development of an individual (i.e. critical period) having everlasting consequences on its behaviour at a later stage (Hess, 1964).Recently, a new form of imprinting to a male pheromone, cis-Vaccenyl Acetate (cVA), has been discovered in Drosophila melanogaster (Everaerts et al., 2018). The imprinting takes place by the transmission of the pheromone from males to females during mating. Females will then simultaneously transfer eggs and cVA onto their laying substrate, obliging the larvae to develop in contact with the pheromone during their embryonic development and when emerging from the eggs.When perceived with other pheromonal compounds (cuticular hydrocarbons - CHCs), cVA mediates several sexual and subsocial behavior in a sex-specific manner including aggregation over food sources. Lasts results showed indeed that females tend to be more attracted than males by food enriched with cVA and males or females CHCs (Cazal�-Debat et al., 2019).However, apart from the work describing this pheromonal imprinting to cVA (i.e. Everaerts et al., 2018), no study considered the imprinting status of individuals. By naturally and experimentally manipulating the pre-imaginal exposure of tested Drosophila to cVA, my PhD project mainly consisted in studying (i) long-range attraction of imprinted individuals towards food labelled by conspecifics? CHCs supplemented with cVA and (ii) the peripheral antennal detection of cVA in such imprinted individuals.;1;12h12;12h27;Session 2;Neurobiologie;Neurobiology;;
Delescluse;Julie;Role of MINIDISCS, an amino-acid transporter, on glutamatergic activity in Drosophila melanogaster mushroom bodies, and its impact on behaviour;Oral;The Solute Carrier Family 7 (SLC7A) is a heterodimeric amino acid transporter family which plays a crucial role in cell and tissue physiology and metabolism in mammals. It was been characterized as a key factor in some human cancers.Five potential SLC7A orthologs -minidiscs, genderblind, JhI-21, sobremesa and CG1607- have been identified in Drosophila.To unravel the role of SLC7A transporters in the amino acid signalling in the adult central nervous system (CNS) we focused on MINIDISCS (MND) transporter.MND is expressed in various cells in the CNS. We already highlighted the role of MND in IPCs as a crucial factor for DILP secretion and sugar metabolism.Here we show that MND is also expressed in some neurons forming the ?/? and ? lobes of the mushroom bodies (MB). Downexpression of Mnd in these neurons impairs the role of various amino-acids on MB activity using live calcium imaging. Surprisingly, we found that MND is an important glutamatergic actor in these neurons. We investigated the genetic coexpression of MND with various glutamatergic receptors, and we found that ionotropic (NMDAR, KAINATE, GLUCL?) and metabotropic (dmGLUR) receptors are co-expressed in the MB. We also found that downstream effectors of MND, such as Glutamate Deshydrogenase (GDH) and TOR are also involved in glutamatergic response in these kenyon cells.The mushroom body is a neuronal structure known to be involved in learning and memory, and also in social behaviour like courtship or aggression. We investigate the potential role of MND in aggressive behaviour.These results strongly support a key role played by MND in glutamatergic activity control in Drosophila melanogaster. This information opens fascinating new field of investigations, which could allow a better understanding of how nutrients and simple molecules, such as glutamate, can influence neuronal activity and could impact behaviour.;1;12h30;12h45;Session 2;Neurobiologie;Neurobiology;;
Ghassani;Aya;Activity of murepavadin and resistance mechanisms in cystic fibrosis Pseudomonas aeruginosa strains;Oral;Pseudomonas aeruginosa is an opportunistic pathogen well-known in cystic fibrosis patients (CF). Unfortunately, its high capacity to adapt to the pulmonary environment (biofilm formation) and to develop several antibiotic resistance mechanisms limits the therapeutic options to eradicate it, particularly in chronically-colonized CF patients. Thus, the development of new molecules anti-Pseudomonas is urgent. Murepavadin (POL7080) is a new peptidomimetic derived from protegrin, currently in phase 3-clinical trials, which has demonstrated promising results in vitro against P. aeruginosa. It interacts with the outer membrane protein LptD resulting in the accumulation of lipopolysaccharides in the periplasmic space and cell death. The objectives of this work were to evaluate the antimicrobial activity of murepavadin on a collection of 230 clinical CF strains isolated from 12 French hospitals including colistin resistant strains and to identify the mechanisms contributing to murepavadin resistance. The MIC50 and MIC90 of the collection were 0.125 and 4 ?g/ml, respectively. Interestingly, 21 strains exhibited MIC values for murepavadin higher than 8 ?g/ml compared to the wild type strain PAO1 (0.06 ?g/ml). Comparison of the genomes of several pairs of strains (susceptible/resistant to murepavadin) isolated from the same patient (n=13) revealed mutations in genes involved in LPS biosynthesis including lpxl1 and in two-component systems such as the pmrB gene, previously described for its role in AMP resistance. The allelic replacement of lpxl1 or pmrB genes in the reference strain PAO1 by the respective mutated genes, reduced the susceptibility of the PAO1 strain to murepavadin. In all, this study shows a good activity of murepavadin in the CF clinical strains of P. aeruginosa. But, although P. aeruginosa is not yet exposed to murepavadin (commercially-unavailable), strains are already resistant to this new molecule.;1;11h20;11h35;Session 2;Pneumologie et Cardiologie;Pulmonology and Cardiology;;
Tanguy;Julie;NCI-41356, a promising small inhibitor of HSPB5 in idiopathic pulmonary fibrosis?;Oral;Introduction: Idiopathic pulmonary fibrosis (IPF) is a chronic, progressive and lethal disease of unknown aetiology. In France, it ranks among the most frequent interstitial pathologies and affects 6 out of 8 people per 100,000 each year. IPF is characterized by dysregulated healing mechanisms that leads to the accumulation of large amounts of collagen in the lung tissue that disrupts the alveolar architecture. Nintedanib and Pirfenidone are the only currently available treatments even though they are only able to slow down the disease without being curative. In this context, inhibiting HSPB5, a low molecular weight heat shock protein known to be involved in the development of fibrosis, could constitute a potential therapeutic target. Our aim consists to explore how NCI-41356 (a chemical inhibitor of HSPB5) can limit the development of pulmonary fibrosis.Methods: In vivo, fibrosis was assessed in mice injected intratracheally (i.t.) with Bleomycin (BLM) and treated with NaCl or NCI-41356 (3 times i.t. or 3 times a week i.v.). Fibrosis was evaluated by collagen quantification (Sircol, Sirius Red staining), Immunofluorescence, TGF? gene expression (RNAscope). In vitro, TGF-?1 signaling was evaluated in epithelial cells treated by TGF-?1 with or without NCI-41356 (Western Blot, Immunofluorescence, Proximity ligation assay). In parallel, we explored the specific inhibitory properties of NCI41356 on HSPB5/SMAD4 interaction (Nanotemper).Results: In vivo, NCI-41356 reduced the accumulation of collagen, the expression of TGF-?1 and several pro-fibrotic markers (PAI-1, ?-SMA). In vitro, NCI-41356 decreased the interaction between HSPB5 and SMAD4 explaining NCI-41356 anti-fibrotic properties.Conclusion: In this study, we determined that inhibition of HSPB5/SMAD4 could limit IPF in mice. NCI-41356 modulates SMAD4 nuclear translocation thus limiting TGF-?1 signaling and synthesis of collagen and pro-fibrotic markers. Further investigations with human fibrotic lung tissues are needed to determine if these results can be transposed in human.;1;11h38;11h51;Session 2;Pneumologie et Cardiologie;Pulmonology and Cardiology;;
Loriod;Sabrina;Lipid metabolism as a therapeutic target in pulmonary fibrosis;Oral;Introduction: Idiopathic pulmonary fibrosis (IPF) is a progressive and fatal disease of the lung. The therapeutic option for patients with IPF is limited as only two drugs approved, which cannot reverse of stop the progression of the disease. The current working model of IPF patho-biology is based on impaired cellular communication between epithelial cells and fibroblastic cells, the latter being responsible for the collagen accumulation characterizing fibrosis. In this context, we are working on Extracellular Vesicles (EVs), a system of intercellular communication. EVs are lipid vesicles and accumulate in the lung of patients with IPF and promote fibrosis mechanisms.Methods: Lipid metabolism has been investigated using publicly available transcriptomic data and in a mouse model of pulmonary fibrosis induced by bleomycin. We have established the lipidome of EVs isolated from mice with lung fibrosis or controls. Therapeutic efficacy and prognostic potential of the inhibition of lipid metabolism have been tested in fibroblasts in vitro and in animal model of lung fibrosis.Results: Lipid metabolism was dysregulated in patients with IPF and in mice with pulmonary fibrosis compared to respective controls. The increase of enzyme involved in lipid metabolism correlated with disease progression and with EV secretion within the lung. EVs exhibited a specific lipid signature during pulmonary fibrosis. The inhibition of phospholipid metabolism decreased fibroblast activation and reduced bleomycin-induced lung fibrosis in mice. Further, the use of a radioactive phospholipid precursor was able to detect fibrosis accumulation.Conclusion: Lipid metabolism increases during pulmonary fibrosis and correlates with disease progression and the secretion of EVs. The lipids identified in EVs during fibrosis can serve as a double-edge target for IPF with therapeutic and diagnostic properties.;1;11h54;12h09;Session 2;Pneumologie et Cardiologie;Pulmonology and Cardiology;;
Rigal;Eve;Long-term impact of postnatal overfeeding on cardio-metabolism risk and on sensitivity to ischemia-reperfusion injury in vivo;Oral;Nutritional disturbances during the postnatal period may be responsible for a predisposition, or ?programming?, to increased cardio-metabolic risk and to an alteration of left ventricular contractility in adulthood. However, these data have mainly obtained in young male mice, but less is known for older animals.Our aim was to evaluate the impact of PostNatal OverFeeding (PNOF) on cardiac function, on cardiac sensitivity to IschemiaReperfusion (I-R) injury in vivo and on glucose metabolism in young (4 months), adult (6 months) and old (12 months) male mice.PNOF was induced by the reduction of litter size of C57/BL6 mice immediately after birth: Normally-Fed group (NF) was composed of 9 male pups/mother and OverFed group (OF) of 3 pups/mother. Echocardiography and blood sugar tests have been performed at all ages. An in vivo I-R injury was induced by the ligation of the anterior interventricular artery for 45 minutes followed by 24 h of reperfusion.PNOF induced an early and permanent increase in body weight in OF group, independently of mice?s age. The echocardiographic measurements showed an alteration of contractile function from 6 months and up to 12 months as evidenced by a decrease of the left ventricular ejection fraction. These cardiac alterations were associated with glucose metabolism imbalance: OF males presented glucose intolerance and insulin resistance at all ages. To finish, PNOF induced a significant increase of infarct size at all ages after cardiac surgery.Nutritional programming through short-term PNOF induced an early alteration of glucose metabolism and was associated with a constant higher susceptibility to myocardial I-R injury in vivo. Moreover, mice which were submitted to PNOF developed altered cardiac contractility at 6 months and up to 12 months. The cellular and biochemical mechanism need further exploration but could involve alterations in cardiomyocyte pathways, and/or modification of global inflammatory status.;1;12h12;12h27;Session 2;Pneumologie et Cardiologie;Pulmonology and Cardiology;;
Josse;Marie;Evaluation of left ventricular function following myocardial infarction in adult postnatally overfed mice;Oral;Introduction: Perinatal environment, such as nutritional state, is of major importance for short- and long-term cardio metabolic status. Postnatal overfeeding (PNOF) induced in rodents by litter size reduction at birth reproduces the effects of childhood overnutrition and was shown to affect cardiovascular function and pathologies. We aimed to follow the evolution of cardiac function for 60 days after myocardial infarction (MI) in control and PNOF mice.Method: C57BL/6 male mice were raised in litter adjusted to 9 or 3 pups for control and PNOF group respectively. After weaning, both groups had access to standard diet. At 4 months, they were subjected to a permanent ligation of the left anterior descending artery (LAD) to induce MI or sham surgery. Cardiac function was evaluated by echocardiography at baseline, 7, 28, 45 and 60 days after surgery. 60d post-surgery, the left ventricle (LV) was harvested for bio-molecular analyzes.Results: At basal state, no difference of cardiac function was observed between the 4 groups. In both groups subjected to LAD ligation, the ejection fraction was significantly decreased 7d post-surgery while the systolic/diastolic LV area was significantly increased, they both remained impaired until 60d. An increase of cardiac troponin I level was observed 24h post-surgery. However, despite some tendencies, no differences neither in LV contractile function nor in infarct size were noticed between the two groups, due to a small number of individuals per group.Conclusion: As demonstrated by the decreased LV contractility and dilation, the two groups of mice subjected to MI developed heart failure, however, no differences between the control and PNOF groups were observed by now. Further experiments will be done to enhance significance of these results and to assess the cardiac expression of genes and proteins involved in heart failure such as the b-Myosin Heavy Chain or the Atrial Natriuretic Peptide.;1;12h30;12h45;Session 2;Pneumologie et Cardiologie;Pulmonology and Cardiology;;
Eicher;Camille;Directed evolution of Oenococcus oeni to improve acido-tolerance reveals fixed beneficial mutations in the citrate locus;Oral;Oenococcus oeni is a Lactic Acid Bacteria responsible for the malolactic fermentation converting malic acid into lactic acid and carbon dioxide in wines. This second fermentation remains essential for the deacidification, the introduction of aromatic notes and the improvement of microbial stability in many wines. Nevertheless, wine represents a harsh environment for microbial growth due to the lack of nutrients, low pH, high ethanol amounts and the presence of sulfites. Therefore, a better understanding of the cellular response mechanisms to these abiotic stresses is needed in order to improve bacterial tolerance. The directed evolution approach was used to identify target genes which are likely to be involved in acid-tolerance.For this purpose, the Oenococcus oeni ATCC-BAA-1163 strain was propagated in a medium with a progressive pH decrease (from 5.3 to 2.9). This experiment was carried out continuously for 20 months, representing 550 successive generations. The evolved populations obtained underwent fixed mutations located in five genes, including the mae gene which is part of the citrate locus. It appears that these evolved populations, deficient in the mae gene, consume citrate much more slowly than the ancestral strain. Indeed, a transcriptomic analysis showed that the genes related to citrate metabolism are strongly downregulated in the evolved populations. The citrate consumption altered rate resulting from these mutations seems to confer to the bacteria a better resistance under low pH conditions. Indeed, while the addition of citrate in the medium affects the growth of the ancestral population at pH lower than 3.2, there is no change in growth for the evolved populations.;1;16h50;11h35;Session 2;Microbiologie;Microbiology;;
Bellanger;Tiffany;Can we predict the molecular lipochaperon activity of bacterial small heat shock proteins?;Oral;The production of small heat shock protein (sHSP) is one of the main stress response strategies developed by bacteria. All sHSPs have the common characteristic to act as molecular chaperone. Some of them have, in addition, the particularity to exert a lipochaperon role by interacting with membrane lipids to maintain an optimal membrane fluidity. Although crucial for the survival of the cells, this lipochaperon activity in sHSPs remains poorly described in the literature. Indeed, the experimental methods allowing its study to remain laborious and require the use of fluorescent molecular probes, protein purification and the production of model membranes. Despite a strong heterogeneity of sequences, the presence of highly conserved domains could play a key role in the establishment of these activities.Bioinformatics analysis of primary sequences from different sHsp described or not for their lipochaperon activity was performed to identify the conserved domains. A directed mutagenesis strategy was then developed in sHsp Lo18 of the lactic acid bacterium O. oeni, a model organism for the stress response. The impact of these mutations on sHsp-membrane lipid interaction and on the maintenance of membrane fluidity was measured by immunolabeling and spectrofluorimetry. The first data suggest the importance of these domains in the structure of Lo18 and consequently in its lipochaperone function.This work could provide a predictive tool on the primary structure-function relationship of sHSPs.;1;11h38;11h51;Session 2;Microbiologie;Microbiology;;
Huet;Sarah;Experimental community coalescence sheds light on microbial interactions in soil and restores impaired functions;Oral;While microbes can interact with each other in numerous ways, little is known about the contribution of these interactions to microbial community assembly. Here, we manipulated soil microbial communities to assess the importance of interactions between microorganisms. For this purpose, we first subjected a soil microbial community to 18 different removal treatments before reinoculation in its native, but sterilized, soil. Shifts in microbial communities were assessed by 16S rRNA MiSeq sequencing and soil functions were investigated using proxies for C and N cycling. We found that 47% of the dominant OTUs across removal treatments exhibited increased relative fitness after 45 days of incubation. To test the hypothesis that depletion of competitors by the removal treatments was behind the increased relative fitness, we then used a coalescence approach by mixing the depleted and control communities and postulated that it would re-establish the initial interactions. The coalescence approach not only revealed the importance of density-dependent interactions in microbial community assembly but also allowed to restore partly or fully community diversity and soil functions. We found that shifts in both inorganic nitrogen pools and soil pH after microbial community manipulation were related to the proportion of ammoniaoxidizing bacteria. Our work provides new insights into the understanding of the importance of microbial interactions in soil. Our top-down approach combining removal and coalescence manipulation also allowed linking community structure and ecosystem functions. Furthermore, these results highlight the potential of manipulating microbial communities for restoration of soil ecosystems.;1;11h54;12h09;Session 2;Microbiologie;Microbiology;;
